type,domain,generated_at
ALLOW,ai.google.dev,2026-02-27
ALLOW,anthropic.com,2026-02-27
ALLOW,api-inference.huggingface.co,2026-02-27
ALLOW,api.anthropic.com,2026-02-27
ALLOW,api.openai.com,2026-02-27
ALLOW,app.orcha.jp,2026-02-27
ALLOW,bedrock-runtime.amazonaws.com,2026-02-27
ALLOW,bedrock.amazonaws.com,2026-02-27
ALLOW,bing.com,2026-02-27
ALLOW,canva.com,2026-02-27
ALLOW,chatgpt.com,2026-02-27
ALLOW,claude.ai,2026-02-27
ALLOW,cognition.ai,2026-02-27
ALLOW,cohere.ai,2026-02-27
ALLOW,console.anthropic.com,2026-02-27
ALLOW,copilot.microsoft.com,2026-02-27
ALLOW,devin.ai,2026-02-27
ALLOW,elevenlabs.io,2026-02-27
ALLOW,exabase.ai,2026-03-19
ALLOW,felo.ai,2026-02-27
ALLOW,firefly.adobe.com,2026-02-27
ALLOW,gemini.google.com,2026-02-27
ALLOW,genspark.ai,2026-02-27
ALLOW,groq.com,2026-02-27
ALLOW,huggingface.co,2026-02-27
ALLOW,kantan.gmo,2026-02-27
ALLOW,manus.im,2026-02-27
ALLOW,midjourney.com,2026-02-27
ALLOW,mistral.ai,2026-02-27
ALLOW,notebooklm.google.com,2026-02-27
ALLOW,openai.azure.com,2026-02-27
ALLOW,openai.com,2026-02-27
ALLOW,openrouter.ai,2026-02-27
ALLOW,orcha.jp,2026-02-27
ALLOW,oshiete.ai,2026-02-27
ALLOW,perplexity.ai,2026-02-27
ALLOW,platform.openai.com,2026-02-27
ALLOW,replicate.com,2026-02-27
ALLOW,runwayml.com,2026-02-27
ALLOW,stability.ai,2026-02-27
ALLOW,tenbin.ai,2026-02-27
ALLOW,together.ai,2026-02-27
ALLOW,v0.app,2026-02-27
ALLOW,v0.dev,2026-02-27
ALLOW,value-domain.com,2026-02-27
ALLOW,vertexai.googleapis.com,2026-02-27
